url,title,lead,content
https://www.liputan6.com/news/read/123694/evakuasi-wni-dari-timor-leste-berakhir,Evakuasi WNI dari Timor Leste Berakhir,"Dari kurang lebih 3.000 orang, masih tersisa sekitar 1.000 warga Indonesia yang belum dievakuasi. Sebagian dari mereka masih berharap kondisi keamanan Timor Leste segera pulih [baca: WNI Keluar Dili Dalam Kondisi Stres]. Sebagian lain tidak diketahui keberadaannya hingga sulit dievakuasi. TNI AU masih menyiagakan dua pesawat Hercules di Kupang, Nusatenggara Timur, untuk mengangkut WNI yang tersisa.","Dari kurang lebih 3.000 orang, masih tersisa sekitar 1.000 warga Indonesia yang belum dievakuasi. Sebagian dari mereka masih berharap kondisi keamanan Timor Leste segera pulih [baca: WNI Keluar Dili Dalam Kondisi Stres]. Sebagian lain tidak diketahui keberadaannya hingga sulit dievakuasi. TNI AU masih menyiagakan dua pesawat Hercules di Kupang, Nusatenggara Timur, untuk mengangkut WNI yang tersisa. Suasana Kota Dili masih mencekam. Penjarahan dan pembakaran rumah terjadi di berbagai sudut kota. Pertentangan antara kelompok warga yang dari wilayah barat atau Loromanu dengan warga dari wilayah timur atau Lorosae makin runcing. Sebagian pasukan pemerintah Timor Leste yang berasal dari wilayah bagian timur turut memperkeruh suasana. Pasukan yang masih setia terhadap pemerintah ini mengintimidasi warga Dili yang berasal dari wilayah barat. Kondisi panas ini memicu perbedaan pendapat antara Presiden Xanana Gusmao dan Perdana Menteri Mari Alkatiri. Advertisement Gusmao menginginkan pelucutan senjata seluruh polisi dan militer dan mempekerjakan sekitar 600 tentara desertir yang memberontak. Sedangkan Alkatiri menghendaki pelucutan senjata bagi pasukan pemberontak saja sebelum kembali bertugas.(TNA/Tim Liputan 6 SCTV)"
https://www.liputan6.com/news/read/184383/bangkai-kapal-patroli-polairud-aceh-diangkat,Bangkai Kapal Patroli Polairud Aceh Diangkat,Bangkai kapal ditemukan di kedalaman 15 meter di lokasi sekitar 200 meter dari titik tenggelam di perairan Pulau Aceh sekitar tujuh mil dari pantai Banda Aceh. Badan kapal nyaris habis terbakar. Namun sejumlah bagian kapal masih bisa digunakan untuk penyelidikan di laboratorium. Sejauh ini belum dipastikan penyebab insiden itu.,"Bangkai kapal ditemukan di kedalaman 15 meter di lokasi sekitar 200 meter dari titik tenggelam di perairan Pulau Aceh sekitar tujuh mil dari pantai Banda Aceh. Badan kapal nyaris habis terbakar. Namun sejumlah bagian kapal masih bisa digunakan untuk penyelidikan di laboratorium. Sejauh ini belum dipastikan penyebab insiden itu. kapal patroli buatan PT PAL Jakarta ini dikirim ke Polairud Aceh pada 2006. Kapal meledak dan tenggelam di perairan Pulau Aceh. Lima orang menderita luka bakar termasuk Direktur Polairud Aceh Komisaris Besar Polisi Sunarto dan seorang putranya. Dugaan sementara, terjadi korsleting pada kabel mesin. Percikan api lantas menyambar benda mudah terbakar.(TOZ/Mukhtaruddin Yakob)"
https://www.liputan6.com/news/read/202023/gamarra-pemain-inggris-juga-manusia,Gamarra: Pemain Inggris Juga Manusia,"Bergabung dengan tim favorit, Inggris di babak penyisihan grup B PD 2006 tidak membuat kecut hati Carlos Gamarra. Defender gaek dan kapten Paraguay itu menyebut dua negara yang menjadi favorit menggenggam gelar juara, Brasil dan tuan rumah, Jerman.","Bergabung dengan tim favorit, Inggris di babak penyisihan grup B PD 2006 tidak membuat kecut hati Carlos Gamarra. Defender gaek dan kapten Paraguay itu menyebut dua negara yang menjadi favorit menggenggam gelar juara, Brasil dan tuan rumah, Jerman. Meskipun mengakui Inggris merupakan tim yang hebat, defender veteran Paraguay, Carlos Gamarra bersikukuh timnya tidak merasa takut berhadapan dengan pasukan Sven-Goran Eriksson dalam partai pertama penyisihan grup B yang akan berlangsung di Waldstadion, Frankfurt, 10 Juni mendatang. Defender kelahiran 17 Februari 1971 di Ypacarai, Paraguay yang kini bermain bersama klub raksasa Brasil, Palmeiras itu bahkan yakin timnya bakal mampu lolos babak penyisihan grup yang juga diikuti oleh Swedia dan negara debutan, Trinidad & Tobago. Advertisement Alasan Gamarra, adalah keyakinan yang semakin membesar yang tertanam dalam pasukan Anibal Ruiz setelah mampu lolos kualifikasi zona Amerika Selatan dengan meraih posisi keempat. “Materi yang dipunyai tim sekarang membuat keyakinan saya bertambah,” kata Gamarra kepada harian Brasil,O Estado de Sao Paulo. “Kami mampu menyelesaikan kualifikasi dengan penampilan (hasil) yang bagus. Apalagi dengan ditambah beberapa muka baru yang memungkinkan komposisi skuad Paraguay semakin baik,” tambahnya. Menurut Gamarra, Inggris yang bermaterikan pemain-pemain bintang dunia memang banyak diprediksikan menjadi tim favorit. “Tentu saja mereka tim yang sangat hebat dan telah mempersiapkan diri dengan baik. Tapi, jangan lupa, mereka bukanlah para pemain dari planet lain alias manusia biasa,” kata Gamarra yang menargetkan timnya mampu meraih hasil yang lebih baik dari yang didapat dari penampilan mereka di dua PD terakhir--mampu mencapai babak 16 besar. Disinggung tentang tim favorit untuk menjuarai PD di Jerman kali ini, tanpa basa-basi, mantan pemain Atletico Madrid dan Inter Milan itu menunjuk raksasa sepakbola dunia, Brasil. “Tim Samba tentunya menjadi favorit utama,” kata kapten Paraguay yang meraih medali perak Olimpiade Athena 2004 setelah di final dikalahkan Argentina 0-1. Namun, tambah Gamarra, tim tuan rumah Jerman pun pantas untuk diperhitungkan. “Dalam setiap turnamen, hampir pasti Jerman akan telat panas. Tapi, tiba-tiba mereka mampu bangkit dan menjungkirbalikkan semua perkiraan orang,” katanya. Apalagi, “Mereka punya keuntungan tersendiri, yaitu faktor tuan rumah,” imbuh sang kapten yang mempunyai rekor 104capsdan 11 gol selama bertanding membela Paraguay."
https://www.liputan6.com/news/read/175652/dua-kecamatan-di-bandung-selatan-terendam,Dua Kecamatan di Bandung Selatan Terendam,"Liputan6.com, Bandung:Sungai Citarum kembali meluap. Sejak beberapa hari terakhir hujan deras memang terus mengguyur kawasan Bandung Selatan, Jawa Barat. Alhasil, ratusan rumah terendam.","Liputan6.com, Bandung:Sungai Citarum kembali meluap. Sejak beberapa hari terakhir hujan deras memang terus mengguyur kawasan Bandung Selatan, Jawa Barat. Alhasil, ratusan rumah terendam. Sungai yang kondisinya terus mengalami pendangkalan itu tidak lagi mampu menampung debit air hujan. Selain merendam ratusan rumah dan sejumlah sekolah serta rumah ibadah, luapan Citarum menggenangi sejumlah ruas jalan di dua kecamatan. Menurut warga setempat, mereka sudah sangat jengkel dengan banjir yang selalu terjadi. Namun pemerintah tidak juga melakukan upaya normalisasi sungai terbesar di kawasan Kabupaten Bandung tersebut.(ANS/Tim Liputan 6 SCTV) Advertisement"
https://www.liputan6.com/news/read/162654/demonstrasi-tolak-bupati-buton-utara-ricuh,Demonstrasi Tolak Bupati Buton Utara Ricuh,"Liputan6.com, Kendari:Pengunjuk rasa yang tergabung dalam Koalisi Mahasiswa Penyelamat Buton Utara diusir petugas Satuan Polisi Pamong Praja saat berusaha memasuki Kantor Gubernur Sulawesi Tenggara, Senin (21/7). Kericuhan pun tidak dapat dihindari.","Liputan6.com, Kendari:Pengunjuk rasa yang tergabung dalam Koalisi Mahasiswa Penyelamat Buton Utara diusir petugas Satuan Polisi Pamong Praja saat berusaha memasuki Kantor Gubernur Sulawesi Tenggara, Senin (21/7). Kericuhan pun tidak dapat dihindari. Demonstran mendesak Gubernur Nur Alam segera mencabut SK Pejabat Pelaksana Harian Bupati yang dijabat Sekda Buton Utara Nasirun karena dinilai tak prosedural. Padahal Pjs Bupati Buton Utara sesuai SK Mendagri dijabat Kasim. Sejak keluarnya dua SK soal pejabat bupati Buton Utara, kontroversi kedua kubu di masyarakat kerap muncul[baca: Demonstran Bentrok dengan Polisi Pamong Praja].(JUM/Tim Liputan 6 SCTV)"
https://www.liputan6.com/news/read/233010/peresmian-jembatan-suramadu-diprotes-mahasiswa,Peresmian Jembatan Suramadu Diprotes Mahasiswa,"Sementara itu, tarif tol Jembatan Suramadu akan ditetapkan satu pekan hingga satu bulan sejak peresmian. Yang pasti, tarif penyeberangan melalui jembatan ini akan lebih murah 40 hingga 60 persen dari tarif feri. Untuk sebulan ke depan, warga yang melintas tidak akan dipungut bayaran.(ADO/ANS)","Sementara itu, tarif tol Jembatan Suramadu akan ditetapkan satu pekan hingga satu bulan sejak peresmian. Yang pasti, tarif penyeberangan melalui jembatan ini akan lebih murah 40 hingga 60 persen dari tarif feri. Untuk sebulan ke depan, warga yang melintas tidak akan dipungut bayaran.(ADO/ANS)"
https://www.liputan6.com/news/read/112641/keluarga-misno-meminta-maaf,Keluarga Misno Meminta Maaf,"Selama ini, Sukarto dan anggota keluarga lain tak pernah mengajarkan kekerasan kepada Misno, apalagi yang mengatasnamakan agama. Untuk itu, mereka meminta maaf kepada seluruh pihak yang anggota keluarganya menjadi korban perbuatan Misno.","Selama ini, Sukarto dan anggota keluarga lain tak pernah mengajarkan kekerasan kepada Misno, apalagi yang mengatasnamakan agama. Untuk itu, mereka meminta maaf kepada seluruh pihak yang anggota keluarganya menjadi korban perbuatan Misno. Kini, Sukarto hanya bisa meminta agar jenazah anaknya dikembalikan pada keluarga, meski sudah tidak utuh lagi. Selain itu, dia juga berharap perbuatan buruk Misno bisa menjadi pelajaran berharga bagi keluarga yang lain.(ADO/Mardiyanto dan Herri Susanto)"
https://www.liputan6.com/news/read/154638/jaring-muroami-kebutuhan-hidup-dan-kelestarian-lingkungan,"Jaring Muroami, Kebutuhan Hidup dan Kelestarian Lingkungan","Liputan6.com, Jakarta:Laut adalah sahabat bagi warga di kawasan Kepulauan Seribu, Jakarta. Karena dari lautlah mereka hidup. Nelayan memang menjadi profesi sebagian besar penduduk Kepulauan Seribu. Para nelayan di kawasan ini umumnya menggunakan jaring muroami yang dalam bahasa Jepang berarti jaring tanpa kantong.","Liputan6.com, Jakarta:Laut adalah sahabat bagi warga di kawasan Kepulauan Seribu, Jakarta. Karena dari lautlah mereka hidup. Nelayan memang menjadi profesi sebagian besar penduduk Kepulauan Seribu. Para nelayan di kawasan ini umumnya menggunakan jaring muroami yang dalam bahasa Jepang berarti jaring tanpa kantong. Jaring yang lebar memanjang ini mulai digunakan nelayan sejak 1980. Diperlukan sekitar 10 sampai 15 nelayan untuk mengoperasikan jaring muroami yang umumnya memiliki panjang hingga 100 meter. Setelah jaring dipasang, dua nelayan menggiring gerombolan ikan dengan membunyikan cincin besi yang dipasang diujung jaring. Sekali melaut, para nelayan muroami bisa meraup ikan 3 hingga 4 kuintal. Jika musim sedang buruk, mereka hanya membawa pulang sekitar satu kuintal ikan. Jenis ikan tangkapan rata-rata adalah ikan karang macam ekor kuning atau kerapu yang memiliki nilai jual tinggi. Ini jelas menguntungkan karena biaya operasional jaring muroami tak mahal. Advertisement Namun, penggunaan jaring muroami bukan tanpa resiko. Para nelayan yang menyelam hingga kedalaman 40 meter kadang tak mengikuti prosedur selam. Apalagi mereka masih menggunakan alat tradisional macam kompresor. Ancaman kelumpuhan hingga kematian mengintai para nelayan muroami. Para pemerhati lingkungan juga menilai jaring muroami berpotensi merusak terumbu karang. Tali-tali jaring merusak kelangsungan terumbu karang. Ukuran mata jaring yang kecil juga memerangkap ikan-ikan kecil. Padahal secara ekologis pertumbuhan ikan terumbu karang lebih lambat dibanding ikan permukaan. Tapi para nelayan tak bisa berpaling dari jaring muroami. Biaya yang murah membuat jaring muroami tetap dipilih. Pemenuhan kebutuhan hidup seolah menjadi alasan untuk mengesampingkan kelestarian alam.(TOZ/Tim Liputan 6 SCTV)"
https://www.liputan6.com/news/read/118180/kantor-freeport-di-kawasan-kuningan-dirusak-massa,Kantor Freeport di Kawasan Kuningan Dirusak Massa,"Adapun para pelaku penyerangan kantor perusahaan penambangan emas dan tembaga yang berpusat di Amerika Serikat itu kini berada di Markas Kepolisian Daerah Metro Jaya. Ternyata, mereka adalah sepuluh mahasiswa asal Papua. Penyidik pun masih meminta keterangan mereka. Sementara hingga berita ini ditulis belum ada keterangan dari pihak Freeport mengenai kejadian tersebut. Hanya saja, petugas keamanan masih menjaga ketat gedung tersebut. Bahkan, para wartawan yang hendak meliput dilarang masuk.","Adapun para pelaku penyerangan kantor perusahaan penambangan emas dan tembaga yang berpusat di Amerika Serikat itu kini berada di Markas Kepolisian Daerah Metro Jaya. Ternyata, mereka adalah sepuluh mahasiswa asal Papua. Penyidik pun masih meminta keterangan mereka. Sementara hingga berita ini ditulis belum ada keterangan dari pihak Freeport mengenai kejadian tersebut. Hanya saja, petugas keamanan masih menjaga ketat gedung tersebut. Bahkan, para wartawan yang hendak meliput dilarang masuk. Sementara dari Papua dilaporkan, hingga siang ini warga masih memblokade jalan di Ridge Camp Mile Pos 72 Freeport, Tembagapura, Papua, masih berlangsung. Bahkan, jumlah pengunjuk rasa bertambah hingga mencapai ratusan orang. Aksi ini merupakan lanjutan protes para pendulang tradisional yang ditertibkan aparat keamanan. Dalam peristiwa itu tiga warga terluka akibat tembakan dan dua polisi terkena panah[baca: Karyawan Freeport Keluar dari Tembagapura]. Untuk mengantisipasi meluasnya aksi tersebut, pemerintah mulai hari ini meminta aparat keamanan untuk memperketat pengamanan di areal tambang. Dengan begitu, Freeport secara bertahap bisa kembali beroperasi. Alasannya, insiden yang terjadi kemarin tidak terkait dengan komitmen pembangunan Freeport, melainkan protes para penambang yang ditertibkan polisi. Advertisement Perlu diketahui, suku Dani di Timika, Papua, yang dituduh sebagai penambang liar sebenarnya hanya berusaha mengais sisa emas dari limbah yang dibuang PT Freeport ke aliran sungai. Ini sesuai kesepakatan kepala suku setempat dengan Freeport setelah pemberlakuan Otonomi Khusus di Papua. Salah satu pendulang emas adalah Kieru Sitai. Untuk mendapatkan emas seberat empat hingga lima gram, dia mesti rela tinggal di tenda di sekitar sungai selama sepekan. Sitai menjual satu gram emas seharga Rp 70 ribu. Angka ini jelas tak seberapa nilainya jika dibandingkan dengan kekayaan emas Papua yang dikeruk oleh Freeport setiap harinya[baca: Suku Dani Pendulang Emas Tersisih Freeport].(BOG/Tim Liputan 6 SCTV)"
https://www.liputan6.com/news/read/187198/pasien-dbd-di-subang-meningkat-dua-tewas,"Pasien DBD di Subang Meningkat, Dua Tewas","Liputan6.com, Subang:Jumlah pasien demam berdarah dengue di Subang, Jawa Barat, semakin meningkat seiring hujan yang terus mengguyur selama sepekan. Dalam sehari, 10 hingga 15 pasien DBD yang kebanyakan anak-anak masuk Rumah Sakit Umum Daerah Ciereng Subang. Demikian pemantauanSCTVhingga Sabtu (16/2).","Liputan6.com, Subang:Jumlah pasien demam berdarah dengue di Subang, Jawa Barat, semakin meningkat seiring hujan yang terus mengguyur selama sepekan. Dalam sehari, 10 hingga 15 pasien DBD yang kebanyakan anak-anak masuk Rumah Sakit Umum Daerah Ciereng Subang. Demikian pemantauanSCTVhingga Sabtu (16/2). Sejak awal hingga pertengahan Februari ini, pasien demam berdarah di RSUD Ciereng Subang mencapai 75 orang. Tercatat dua pasien anak-anak meninggal dalam sepekan ini karena terlambat ditangani. Namun sampai saat ini, Pemerintah Kabupaten Subang belum menetapkan demam berdarah sebagai kejadian luar biasa.(TOZ/Syamsu Nursyam)"
